Name,Integrality_Gap,Stop_Condition,Iterations,Time(msec),Check_Feasibility,Objvalue
Simple,0.0042310045147990515,1.0,51.0,4028.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4055.0,0.0,0.0
Simple,0.0010962106802749837,1.0,51.0,970.0,0.0,1005.6648165120565
Reinforcement,3.463252217007523E-4,1.0,101.0,1996.0,0.0,6212.009050888922
Aggressive,6.293804888062827E-4,1.0,2001.0,2741947.0,0.0,3699.328934460125
BenchMark2,0.0,0.0,0.0,641.0,0.0,1690.0
BenchMark3,0.0,0.0,0.0,857.0,0.0,1377.0
BenchMark4,0.0,0.0,0.0,839.0,0.0,1236.0
Simple,4.4525132933861283E-4,1.0,51.0,29091.0,0.0,55535.436388224254
Reinforcement,0.0,0.0,7.0,2155.0,0.0,59615.0
Aggressive,0.0,0.0,33.0,8525.0,0.0,59878.0
BenchMark2,1.9150082004074403E-18,0.0,0.0,6145.0,0.0,56136.99999999999
BenchMark3,1.9150082004074403E-18,0.0,0.0,9233.0,0.0,56136.99999999999
BenchMark4,1.9150082004074403E-18,0.0,0.0,9176.0,0.0,56136.99999999999
Simple,0.006753671873973132,1.0,51.0,13252.0,0.0,2.0
Reinforcement,0.006376579965391847,1.0,101.0,70145.0,0.0,3.0
Simple,3.954840719558242E-4,1.0,51.0,28042.0,0.0,-124657.64141322489
Simple,0.0042310045147990515,1.0,51.0,4471.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4264.0,0.0,0.0
Simple,0.0010962106802749837,1.0,51.0,1248.0,0.0,1005.6648165120565
Simple,0.016375727199581188,1.0,51.0,2631.0,0.0,360.5933075169579
Reinforcement,0.0,0.0,3.0,599.0,0.0,553.0
Aggressive,0.0,0.0,2.0,624.0,0.0,1733502.0
BenchMark2,0.0,0.0,0.0,165.0,0.0,745.0
BenchMark3,0.0,0.0,0.0,515.0,0.0,537.0
BenchMark4,0.0,0.0,0.0,720.0,0.0,519.0
Simple,0.0042310045147990515,1.0,51.0,4002.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4024.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3900.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4244.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3951.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4224.0,0.0,0.0
Aggressive,0.0050338946000991446,1.0,11.0,4602.0,1.0,-184655.27774424193
BenchMark2,7.204316339659487E-17,0.0,0.0,19532.0,0.0,0.0
BenchMark3,7.204316339659487E-17,0.0,0.0,19640.0,0.0,0.0
BenchMark4,7.204316339659487E-17,0.0,0.0,19535.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,4116.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4185.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3950.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4400.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,5251.0,0.0,0.0
CDFP,0.0020408026478409736,1.0,11.0,5209.0,0.0,0.0
BenchMark2,7.204316339659487E-17,0.0,0.0,20116.0,0.0,0.0
BenchMark3,7.204316339659487E-17,0.0,0.0,21341.0,0.0,0.0
BenchMark4,7.204316339659487E-17,0.0,0.0,19904.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3955.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4227.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,5100.0,0.0,0.0
CDFP,0.0020408026478409736,1.0,11.0,4993.0,0.0,0.0
BenchMark2,7.204316339659487E-17,0.0,0.0,18064.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3922.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4039.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,5183.0,0.0,0.0
CDFP,0.0020408026478409736,1.0,11.0,5042.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3965.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4285.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,4871.0,0.0,0.0
CDFP,0.0020408026478409736,1.0,11.0,5113.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,4206.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4405.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,5080.0,0.0,0.0
Simple,0.0042310045147990515,1.0,51.0,3889.0,0.0,0.0
Reinforcement,0.0020346585271441633,1.0,101.0,4064.0,0.0,0.0
Aggressive,0.0020408026478409736,1.0,11.0,5019.0,0.0,0.0
CDFP,0.004323438380787723,1.0,4114.0,350589.0,0.0,0.0
BenchMark2,7.204316339659487E-17,0.0,0.0,19522.0,0.0,0.0
BenchMark3,7.204316339659487E-17,0.0,0.0,19568.0,0.0,0.0
BenchMark4,7.204316339659487E-17,0.0,0.0,20057.0,0.0,0.0
Simple,0.0,0.0,1.0,89.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,24.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,19.0,0.0,-15.0
CDFP,0.0,0.0,0.0,1.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,109.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,60.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,120.0,0.0,-22.0
Simple,0.0,0.0,1.0,36.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,32.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
CDFP,0.0,0.0,0.0,3.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,22.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,60.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,231.0,0.0,-22.0
Simple,0.0,0.0,1.0,33.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,37.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,29.0,0.0,-15.0
CDFP,0.0,0.0,0.0,2.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,13.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,80.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,200.0,0.0,-22.0
Simple,0.0,0.0,1.0,31.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,55.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
CDFP,0.0,0.0,0.0,1.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,19.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,38.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,230.0,0.0,-22.0
Simple,0.0,0.0,1.0,44.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,43.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
CDFP,0.0,0.0,0.0,21.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,47.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,77.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,330.0,0.0,-22.0
Simple,0.0,0.0,1.0,45.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,36.0,0.0,-15.0
CDFP,0.0,0.0,0.0,1.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,20.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,38.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,211.0,0.0,-22.0
Simple,0.0,0.0,1.0,44.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,28.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
CDFP,0.0,0.0,0.0,1.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,22.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,63.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,246.0,0.0,-22.0
Simple,0.0,0.0,1.0,56.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,23.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,24.0,0.0,-15.0
CDFP,0.0,0.0,0.0,2.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,27.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,57.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,221.0,0.0,-22.0
Simple,0.0,0.0,1.0,46.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,24.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,28.0,0.0,-15.0
CDFP,0.0,0.0,0.0,1.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,19.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,84.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,273.0,0.0,-22.0
Simple,0.0,0.0,1.0,47.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,44.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,43.0,0.0,-15.0
CDFP,0.0,0.0,0.0,15.0,1.0,-500.0
BenchMark2,0.0,0.0,0.0,24.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,74.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,270.0,0.0,-22.0
Simple,0.0,0.0,1.0,36.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,28.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
Simple,0.0,0.0,1.0,44.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,21.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,35.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,33.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,31.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,20.0,0.0,-15.0
CDFP,0.0,0.0,5.0,433.0,0.0,1.59222429216555E14
BenchMark2,0.0,0.0,0.0,38.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,96.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,388.0,0.0,-22.0
Simple,0.0,0.0,1.0,52.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,37.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
Simple,0.0,0.0,1.0,45.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,29.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,39.0,0.0,-15.0
BenchMark2,0.0,0.0,0.0,31.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,112.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,292.0,0.0,-22.0
Simple,0.0,0.0,1.0,54.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,31.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,29.0,0.0,-15.0
Simple,0.0,0.0,1.0,35.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,26.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,28.0,0.0,-15.0
Simple,0.0,0.0,1.0,33.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,37.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,28.0,0.0,-15.0
CDFP,0.0,0.0,5.0,172.0,0.0,6.934351107158E12
BenchMark2,0.0,0.0,0.0,19.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,97.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,325.0,0.0,-22.0
Simple,0.0,0.0,1.0,35.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,34.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,25.0,0.0,-15.0
CDFP,0.0,0.0,5.0,203.0,0.0,5.83174601966E12
BenchMark2,0.0,0.0,0.0,43.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,78.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,341.0,0.0,-22.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,41.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
Simple,0.0,0.0,1.0,42.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,31.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
CDFP,NaN,0.0,1.0,206.0,0.0,-Infinity
BenchMark2,0.0,0.0,0.0,25.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,86.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,298.0,0.0,-22.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,29.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
CDFP,NaN,0.0,2.0,302.0,0.0,-Infinity
BenchMark2,0.0,0.0,0.0,27.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,62.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,284.0,0.0,-22.0
Simple,0.0,0.0,1.0,50.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,29.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,33.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
Simple,0.0,0.0,1.0,45.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,21.0,0.0,-15.0
Simple,0.0,0.0,1.0,44.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,24.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,25.0,0.0,-15.0
Simple,0.0,0.0,1.0,39.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,24.0,0.0,-15.0
Simple,0.0,0.0,1.0,46.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,32.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,24.0,0.0,-15.0
Simple,0.0,0.0,1.0,39.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,40.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
Simple,0.0,0.0,1.0,40.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,33.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
Simple,0.0,0.0,1.0,39.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,34.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,34.0,0.0,-15.0
Simple,0.0,0.0,1.0,40.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,32.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,19.0,0.0,-15.0
CDFP,0.0,0.0,8.0,167.0,0.0,2.9046942812440285E19
BenchMark2,0.0,0.0,0.0,20.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,54.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,344.0,0.0,-22.0
Simple,0.0,0.0,1.0,38.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,33.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,38.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,31.0,0.0,-15.0
Simple,0.0,0.0,1.0,33.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,36.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,20.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,36.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,31.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,20.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,32.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,25.0,0.0,-15.0
Simple,0.0,0.0,1.0,36.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
Simple,0.0,0.0,1.0,34.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,29.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,22.0,0.0,-15.0
CDFP,NaN,0.0,1.0,157.0,0.0,-Infinity
BenchMark2,0.0,0.0,0.0,21.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,46.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,248.0,0.0,-22.0
Simple,0.0,0.0,1.0,45.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,32.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,29.0,0.0,-15.0
CDFP,NaN,0.0,1.0,158.0,0.0,-Infinity
BenchMark2,0.0,0.0,0.0,17.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,58.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,242.0,0.0,-22.0
Simple,0.0,0.0,1.0,38.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,21.0,0.0,-15.0
CDFP,NaN,0.0,1.0,161.0,0.0,-Infinity
BenchMark2,0.0,0.0,0.0,19.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,43.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,308.0,0.0,-22.0
Simple,0.0,0.0,1.0,33.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,30.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,21.0,0.0,-15.0
Simple,0.0,0.0,1.0,37.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,33.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,29.0,0.0,-15.0
Simple,0.0,0.0,1.0,35.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,33.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,30.0,0.0,-15.0
Simple,0.0,0.0,1.0,48.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,47.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,31.0,0.0,-15.0
CDFP,0.0,0.0,2.0,171.0,0.0,3380152.0
BenchMark2,0.0,0.0,0.0,33.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,114.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,405.0,0.0,-22.0
Simple,0.0,0.0,1.0,38.0,0.0,-14.0
Reinforcement,0.0,0.0,1.0,27.0,0.0,-14.0
Aggressive,0.0,0.0,1.0,27.0,0.0,-15.0
CDFP,0.0,0.0,1.0,19.0,0.0,-14.0
BenchMark2,0.0,0.0,0.0,34.0,0.0,-19.0
BenchMark3,0.0,0.0,0.0,47.0,0.0,-20.0
BenchMark4,0.0,0.0,0.0,237.0,0.0,-22.0
Simple,0.006192856662078162,1.0,51.0,175.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,103.0,0.0,8693.0
Aggressive,0.003235198295532359,1.0,11.0,100.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,179.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,86.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,93.0,0.0,4597.525298231181
BenchMark2,0.0,0.0,0.0,27.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,107.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,126.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,194.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,83.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,91.0,0.0,4597.525298231181
CDFP,0.003137333397309235,1.0,101.0,308.0,1.0,2545.1111111111113
BenchMark2,0.0,0.0,0.0,28.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,49.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,33.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,171.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,100.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,95.0,0.0,4597.525298231181
CDFP,0.0,0.0,24.0,125.0,1.0,2378.0
BenchMark2,0.0,0.0,0.0,85.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,142.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,64.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,183.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,74.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,100.0,0.0,4597.525298231181
CDFP,0.0020937174155061114,1.0,101.0,470.0,0.0,3548.3701915970205
BenchMark2,0.0,0.0,0.0,41.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,96.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,71.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,193.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,136.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,87.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,186.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,80.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,104.0,0.0,4597.525298231181
CDFP,0.0022931231099327177,1.0,101.0,564.0,0.0,3595.523658391664
BenchMark2,0.0,0.0,0.0,77.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,63.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,89.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,171.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,26.0,108.0,0.0,9253.0
Aggressive,0.003235198295532359,1.0,11.0,92.0,0.0,4597.525298231181
CDFP,0.005140701991578088,1.0,1001.0,3915.0,0.0,3413.3097301305506
BenchMark2,0.0,0.0,0.0,119.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,48.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,64.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,191.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,25.0,110.0,0.0,9322.0
Aggressive,0.003235198295532359,1.0,11.0,96.0,0.0,4597.525298231181
CDFP,0.001362876050813979,1.0,10001.0,35438.0,0.0,3916.6150698761894
BenchMark2,0.0,0.0,0.0,20.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,48.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,46.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,212.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,95.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,130.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,185.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,88.0,0.0,8693.0
Aggressive,0.003235198295532359,1.0,11.0,78.0,0.0,4597.525298231181
CDFP,0.004297276676585143,1.0,10001.0,27880.0,0.0,3939.751113262047
BenchMark2,0.0,0.0,0.0,17.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,19.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,30.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,175.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,102.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,96.0,0.0,4597.525298231181
CDFP,0.0,0.0,4881.0,16062.0,0.0,4734.0
BenchMark2,0.0,0.0,0.0,29.0,0.0,4333.0
BenchMark3,0.0,0.0,0.0,83.0,0.0,4258.0
BenchMark4,0.0,0.0,0.0,59.0,0.0,4174.0
Simple,0.006192856662078162,1.0,51.0,189.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,82.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,114.0,0.0,4597.525298231181
Simple,0.006192856662078162,1.0,51.0,186.0,0.0,3116.429512401206
Reinforcement,0.0,0.0,22.0,92.0,0.0,8624.0
Aggressive,0.003235198295532359,1.0,11.0,110.0,0.0,4597.525298231181
CDFP,0.0,0.0,12827.0,45167.0,0.0,4975.0
BenchMark2,0.0,0.0,0.0,26.0,0.0,4333.0
